0,000	0,000
1,232	58,829
2,465	47,610
3,697	NaN
4,930	50,641
6,162	53,328
7,394	56,093
8,627	56,828
9,859	54,702
11,091	59,125
12,324	45,297
13,556	52,312
14,789	54,328
16,021	54,422
17,253	60,313
18,486	52,531
19,718	52,875
20,951	52,765
22,183	54,563
23,415	53,828
24,648	55,032
25,880	55,797
27,112	50,970
28,345	50,828
29,577	44,875
30,810	52,750
32,042	49,890
33,274	53,094
34,507	49,360
35,739	49,609
36,972	57,250
38,204	52,297
39,436	53,546
40,669	52,671
41,901	48,984
43,133	48,313
44,366	56,016
45,598	56,985
46,831	48,641
48,063	51,610
49,295	55,500
0,000	57,797
